question_id,lane,answer_type,round,K,evidence_mode,coverage_incomplete,tickers,parse_rate,gold_scoreable,tu,au,eu,tu_mm,au_mm,eu_mm,tu_norm,au_norm,eu_norm,eu_tu_ratio,predicted,p_sys,agent_entropy_fundamental,agent_entropy_trading,k_eff_fundamental,k_eff_trading,gold_prob,correct,brier,nll,agent_gold_prob_fundamental,agent_gold_prob_trading,model
F1,F,yes_no_mixed,0,10,oracle_evidence,True,AAPL,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,mixed,"{""yes"": 0.0, ""no"": 0.0, ""mixed"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,qwen3:8b
F1,F,yes_no_mixed,1,10,oracle_evidence,True,AAPL,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,mixed,"{""yes"": 0.0, ""no"": 0.0, ""mixed"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,qwen3:8b
F11,F,yes_no_mixed,0,10,oracle_evidence,True,TSLA,1.0,True,0.1985152433458726,0.1625414866957241,0.035973756650148486,0.22351524334587258,0.1875414866957241,0.035973756650148486,0.1431984785579781,0.11724889839732029,0.025949580160657796,0.18121407728610292,mixed,"{""yes"": 0.0, ""no"": 0.0, ""mixed"": 0.95, ""insufficient_data"": 0.05}",-0.0,0.3250829733914482,10,10,0.0,False,1.9049999999999998,2.4849066497880004,0.0,0.0,qwen3:8b
F11,F,yes_no_mixed,1,10,oracle_evidence,True,TSLA,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,mixed,"{""yes"": 0.0, ""no"": 0.0, ""mixed"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.4849066497880004,0.0,0.0,qwen3:8b
F12,F,company_choice,0,10,oracle_evidence,False,AAPL|MSFT|GOOGL,1.0,True,0.3250829733914482,0.25020121176909393,0.07488176162235427,0.3500829733914482,0.27520121176909396,0.07488176162235427,0.23449779679464058,0.18048202372184058,0.054015773072800005,0.23034661225454434,GOOGL,"{""AAPL"": 0.1, ""MSFT"": 0.0, ""GOOGL"": 0.9, ""insufficient_data"": 0.0}",0.5004024235381879,-0.0,10,10,0.9,True,0.019999999999999997,0.38077249551779285,0.8,1.0,qwen3:8b
F12,F,company_choice,1,10,oracle_evidence,False,AAPL|MSFT|GOOGL,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,GOOGL,"{""AAPL"": 0.0, ""MSFT"": 0.0, ""GOOGL"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,qwen3:8b
F2,F,company_choice,0,10,oracle_evidence,False,MSFT|GOOGL,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,GOOGL,"{""MSFT"": 0.0, ""GOOGL"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.25131442828090605,1.0,1.0,qwen3:8b
F2,F,company_choice,1,10,oracle_evidence,False,MSFT|GOOGL,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,GOOGL,"{""MSFT"": 0.0, ""GOOGL"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.25131442828090605,1.0,1.0,qwen3:8b
F25,F,company_choice,0,10,oracle_evidence,True,NFLX|DIS,1.0,True,0.5623351446188083,0.34657359027997264,0.21576155433883565,0.5873351446188083,0.37157359027997267,0.21576155433883565,0.5118595071429147,0.3154648767857287,0.1963946303571861,0.3836885465963443,NFLX,"{""NFLX"": 0.75, ""DIS"": 0.0, ""insufficient_data"": 0.25}",0.6931471805599453,-0.0,10,10,0.25,False,1.125,1.2809338454620642,0.5,0.0,qwen3:8b
F25,F,company_choice,1,10,oracle_evidence,True,NFLX|DIS,1.0,True,0.42270908780599087,0.30543215102744675,0.11727693677854412,0.4477090878059909,0.3304321510274468,0.11727693677854412,0.384766393172661,0.2780163249381945,0.10675006823446649,0.2774412478029577,insufficient_data,"{""NFLX"": 0.15, ""DIS"": 0.0, ""insufficient_data"": 0.85}",0.6108643020548935,-0.0,10,10,0.85,True,0.045000000000000005,0.3889358061569538,0.7,1.0,qwen3:8b
F31,F,company_choice,0,10,oracle_evidence,False,AMZN|WMT|COST,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,COST,"{""AMZN"": 0.0, ""WMT"": 0.0, ""COST"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,qwen3:8b
F31,F,company_choice,1,10,oracle_evidence,False,AMZN|WMT|COST,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,COST,"{""AMZN"": 0.0, ""WMT"": 0.0, ""COST"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,qwen3:8b
F44,F,open_summary_with_canonical_claim,0,10,oracle_evidence,False,AMZN|META,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,claim_true,"{""claim_true"": 1.0, ""claim_false"": 0.0, ""mixed"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.25131442828090605,1.0,1.0,qwen3:8b
F44,F,open_summary_with_canonical_claim,1,10,oracle_evidence,False,AMZN|META,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,claim_true,"{""claim_true"": 1.0, ""claim_false"": 0.0, ""mixed"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.25131442828090605,1.0,1.0,qwen3:8b
