question_id,lane,outcome,flow,prd,cms,d_eu,d_au,d_g
F1,F,STABLE_SUCCESS,NOISE_REDUCTION,True,False,-0.0259495801606577,-0.1172488983973202,0.050000000000000044
F11,F,STABLE_FAILURE,MIXED_FLOW,False,False,-0.084597427550527,-0.2203227248076731,0.0
F12,F,STABLE_SUCCESS,NOISE_REDUCTION,True,False,-0.0048343137000526,-0.4008047485295137,0.25
F2,F,STABLE_SUCCESS,ALEATORIC_DESTABILIZATION,True,False,0.0681603167875869,0.2277429575017976,-0.09999999999999998
F25,F,STABLE_SUCCESS,NO_MATERIAL_CHANGE,True,False,0.0,0.0,0.0
F31,F,STABLE_SUCCESS,PRODUCTIVE_CONVERGENCE,True,False,-0.084597427550527,-0.2203227248076731,0.15000000000000002
F44,F,STABLE_SUCCESS,NO_MATERIAL_CHANGE,True,False,0.0,0.0,0.0
FT1,FT,STABLE_SUCCESS,NO_MATERIAL_CHANGE,True,False,0.0,0.0,0.0
FT10,FT,STABLE_FAILURE,MIXED_FLOW,False,False,-0.084597427550527,-0.2203227248076731,0.0
FT12,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False,0.0,0.0,0.0
FT2,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False,0.0,0.0,0.0
FT25,FT,STABLE_SUCCESS,NOISE_REDUCTION,True,False,-0.0259495801606577,-0.1172488983973202,0.050000000000000044
FT31,FT,STABLE_FAILURE,MIXED_FLOW,True,False,0.1930734873016265,-0.1580670999158465,0.04999999999999999
T1,T,STABLE_SUCCESS,ALEATORIC_DESTABILIZATION,True,False,0.0102401048848441,0.366743856440006,-0.40625
T10,T,STABLE_SUCCESS,PRODUCTIVE_CONVERGENCE,True,False,-0.0654535046654842,-0.1704649291788235,0.15000000000000002
T2,T,STABLE_FAILURE,MIXED_FLOW,False,False,0.1382694375999885,-0.3656682861679955,0.0
