financebench_id,round,K,gold_label,parse_rate,model,run_id,evidence_field,agent,predicted,correct,p_noncommit,tu,au,eu,p_sys
financebench_id_00499,0,10,no,1.0,ollama:qwen3:8b,financebench_yesno_neutral_local_qwen3_8b,evidence_text,evidence_accountant,yes,False,0.0,,,,"{""yes"": 1.0, ""no"": 0.0, ""insufficient_data"": 0.0}"
financebench_id_00499,0,10,no,1.0,ollama:qwen3:8b,financebench_yesno_neutral_local_qwen3_8b,evidence_text,financial_analyst,yes,False,0.0,,,,"{""yes"": 1.0, ""no"": 0.0, ""insufficient_data"": 0.0}"
financebench_id_00499,0,10,no,1.0,ollama:qwen3:8b,financebench_yesno_neutral_local_qwen3_8b,evidence_text,system,yes,False,0.0,-0.0,0.0,-0.0,"{""yes"": 1.0, ""no"": 0.0, ""insufficient_data"": 0.0}"
financebench_id_00499,1,10,no,1.0,ollama:qwen3:8b,financebench_yesno_neutral_local_qwen3_8b,evidence_text,evidence_accountant,yes,False,0.0,,,,"{""yes"": 1.0, ""no"": 0.0, ""insufficient_data"": 0.0}"
financebench_id_00499,1,10,no,1.0,ollama:qwen3:8b,financebench_yesno_neutral_local_qwen3_8b,evidence_text,financial_analyst,yes,False,0.0,,,,"{""yes"": 1.0, ""no"": 0.0, ""insufficient_data"": 0.0}"
financebench_id_00499,1,10,no,1.0,ollama:qwen3:8b,financebench_yesno_neutral_local_qwen3_8b,evidence_text,system,yes,False,0.0,-0.0,0.0,-0.0,"{""yes"": 1.0, ""no"": 0.0, ""insufficient_data"": 0.0}"
financebench_id_00807,0,10,no,1.0,ollama:qwen3:8b,financebench_yesno_neutral_local_qwen3_8b,evidence_text,evidence_accountant,insufficient_data,False,1.0,,,,"{""yes"": 0.0, ""no"": 0.0, ""insufficient_data"": 1.0}"
financebench_id_00807,0,10,no,1.0,ollama:qwen3:8b,financebench_yesno_neutral_local_qwen3_8b,evidence_text,financial_analyst,insufficient_data,False,1.0,,,,"{""yes"": 0.0, ""no"": 0.0, ""insufficient_data"": 1.0}"
financebench_id_00807,0,10,no,1.0,ollama:qwen3:8b,financebench_yesno_neutral_local_qwen3_8b,evidence_text,system,insufficient_data,False,1.0,-0.0,0.0,-0.0,"{""yes"": 0.0, ""no"": 0.0, ""insufficient_data"": 1.0}"
financebench_id_00807,1,10,no,1.0,ollama:qwen3:8b,financebench_yesno_neutral_local_qwen3_8b,evidence_text,evidence_accountant,insufficient_data,False,1.0,,,,"{""yes"": 0.0, ""no"": 0.0, ""insufficient_data"": 1.0}"
financebench_id_00807,1,10,no,1.0,ollama:qwen3:8b,financebench_yesno_neutral_local_qwen3_8b,evidence_text,financial_analyst,insufficient_data,False,1.0,,,,"{""yes"": 0.0, ""no"": 0.0, ""insufficient_data"": 1.0}"
financebench_id_00807,1,10,no,1.0,ollama:qwen3:8b,financebench_yesno_neutral_local_qwen3_8b,evidence_text,system,insufficient_data,False,1.0,-0.0,0.0,-0.0,"{""yes"": 0.0, ""no"": 0.0, ""insufficient_data"": 1.0}"
financebench_id_01858,0,10,yes,1.0,ollama:qwen3:8b,financebench_yesno_neutral_local_qwen3_8b,evidence_text,evidence_accountant,yes,True,0.0,,,,"{""yes"": 1.0, ""no"": 0.0, ""insufficient_data"": 0.0}"
financebench_id_01858,0,10,yes,1.0,ollama:qwen3:8b,financebench_yesno_neutral_local_qwen3_8b,evidence_text,financial_analyst,yes,True,0.0,,,,"{""yes"": 1.0, ""no"": 0.0, ""insufficient_data"": 0.0}"
financebench_id_01858,0,10,yes,1.0,ollama:qwen3:8b,financebench_yesno_neutral_local_qwen3_8b,evidence_text,system,yes,True,0.0,-0.0,0.0,-0.0,"{""yes"": 1.0, ""no"": 0.0, ""insufficient_data"": 0.0}"
financebench_id_01858,1,10,yes,1.0,ollama:qwen3:8b,financebench_yesno_neutral_local_qwen3_8b,evidence_text,evidence_accountant,yes,True,0.0,,,,"{""yes"": 1.0, ""no"": 0.0, ""insufficient_data"": 0.0}"
financebench_id_01858,1,10,yes,1.0,ollama:qwen3:8b,financebench_yesno_neutral_local_qwen3_8b,evidence_text,financial_analyst,yes,True,0.0,,,,"{""yes"": 1.0, ""no"": 0.0, ""insufficient_data"": 0.0}"
financebench_id_01858,1,10,yes,1.0,ollama:qwen3:8b,financebench_yesno_neutral_local_qwen3_8b,evidence_text,system,yes,True,0.0,-0.0,0.0,-0.0,"{""yes"": 1.0, ""no"": 0.0, ""insufficient_data"": 0.0}"
financebench_id_00438,0,10,no,1.0,ollama:qwen3:8b,financebench_yesno_neutral_local_qwen3_8b,evidence_text,evidence_accountant,yes,False,0.0,,,,"{""yes"": 1.0, ""no"": 0.0, ""insufficient_data"": 0.0}"
financebench_id_00438,0,10,no,1.0,ollama:qwen3:8b,financebench_yesno_neutral_local_qwen3_8b,evidence_text,financial_analyst,yes,False,0.0,,,,"{""yes"": 1.0, ""no"": 0.0, ""insufficient_data"": 0.0}"
financebench_id_00438,0,10,no,1.0,ollama:qwen3:8b,financebench_yesno_neutral_local_qwen3_8b,evidence_text,system,yes,False,0.0,-0.0,0.0,-0.0,"{""yes"": 1.0, ""no"": 0.0, ""insufficient_data"": 0.0}"
financebench_id_00438,1,10,no,1.0,ollama:qwen3:8b,financebench_yesno_neutral_local_qwen3_8b,evidence_text,evidence_accountant,no,True,0.0,,,,"{""yes"": 0.0, ""no"": 1.0, ""insufficient_data"": 0.0}"
financebench_id_00438,1,10,no,1.0,ollama:qwen3:8b,financebench_yesno_neutral_local_qwen3_8b,evidence_text,financial_analyst,insufficient_data,False,0.9,,,,"{""yes"": 0.0, ""no"": 0.1, ""insufficient_data"": 0.9}"
